Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
Minestrone Soup (1 cup),Meal/Vegetable,100,4.0,16.0,2.5,4.0,5.0,750,0,Lunch,250
Pea and Ham Soup (1 cup),Meal/Legume,190,14.0,22.0,4.0,5.0,5.0,820,25,Lunch,250
Cock-a-Leekie Soup (1 cup),Meal/Meat,120,9.0,12.0,3.0,2.0,3.0,680,20,Lunch,250
Cullen Skink (1 cup Scottish),Meal/Fish,220,16.0,15.0,10.0,1.0,4.0,750,50,Lunch,250
Lobster Roll (1 sandwich),Meal/Seafood,450,22.0,40.0,22.0,2.0,5.0,850,75,Lunch,250
Clam Chowder Bread Bowl,Meal/Seafood,650,22.0,85.0,24.0,4.0,6.0,1400,45,Lunch,0
New England Fish Chowder,Meal/Seafood,280,18.0,22.0,12.0,2.0,4.0,900,50,Lunch,250
Maryland Crab Soup (1 cup),Meal/Seafood,180,12.0,18.0,6.0,4.0,5.0,780,40,Lunch,0
Buffalo Chicken Wrap,Meal/Processed,520,28.0,45.0,24.0,4.0,5.0,1100,75,Lunch,250
Club Wrap (chicken),Meal/Processed,490,28.0,42.0,22.0,4.0,4.0,950,65,Lunch,0
Veggie Sub (6 inch),Meal/Vegetarian,370,12.0,60.0,8.0,6.0,8.0,720,0,Lunch,0
Italian Sub (6 inch),Meal/Processed,480,24.0,45.0,22.0,3.0,6.0,1200,55,Lunch,0
Meatball Sub (6 inch Italian),Meal/Processed,530,25.0,55.0,22.0,4.0,8.0,1150,60,Lunch,0
Caprese Sandwich (ciabatta),Meal/Vegetarian,380,14.0,40.0,18.0,3.0,6.0,550,30,Lunch,0
Banh Mi (Vietnamese sandwich),Meal/Processed,450,20.0,55.0,17.0,4.0,6.0,950,45,Lunch,0
Korean Fried Chicken (2 pieces),Meal/Processed,380,22.0,28.0,20.0,1.0,8.0,680,75,Dinner,0
Bibimbap (1 bowl),Meal/Grain,550,28.0,75.0,15.0,6.0,8.0,900,100,Dinner,250
Japchae (1 cup glass noodles),Meal/Pasta,320,8.0,50.0,10.0,2.0,6.0,700,30,Dinner,0
Bulgogi (3oz beef marinated),Meal/Meat,280,22.0,8.0,18.0,1.0,6.0,750,65,Dinner,0
Tteokbokki (1 cup rice cakes),Meal/Grain,300,5.0,55.0,6.0,2.0,12.0,850,0,Snack,0
Gyoza Pan Fried (5 pieces),Meal/Processed,250,10.0,28.0,12.0,2.0,3.0,520,25,Snack,0
Tonkatsu (1 pork cutlet),Meal/Meat,420,30.0,22.0,24.0,2.0,3.0,650,85,Dinner,0
Miso Soup with Tofu (1 cup),Meal/Vegetarian,80,5.0,6.0,3.0,1.0,2.0,900,0,Lunch,250
Edamame Salted (1 cup in pod),Legume,120,11.0,9.0,5.0,5.0,2.0,9,0,Snack,0
Sushi Roll (California 6 pcs),Meal/Fish,250,9.0,38.0,7.0,2.0,4.0,400,15,Lunch,0
Sushi Roll (Spicy Tuna 6 pcs),Meal/Fish,290,14.0,34.0,11.0,2.0,3.0,450,25,Lunch,0
Mochi Ice Cream (1 piece),Dessert,110,1.5,17.0,4.0,0.5,8.0,30,10,Snack,0
Matcha Ice Cream (1 scoop),Dessert,150,3.0,18.0,8.0,0.5,14.0,50,30,Snack,0
Pot Stickers (4 pcs),Meal/Processed,200,8.0,24.0,8.0,2.0,2.0,480,20,Snack,0
Wonton Soup (1 bowl),Meal/Processed,200,12.0,22.0,6.0,1.0,3.0,950,35,Lunch,500
Fried Wontons (4 pcs),Snack/Processed,180,5.0,18.0,10.0,1.0,2.0,380,15,Snack,0
Chow Mein (1 cup),Meal/Pasta,290,12.0,35.0,12.0,3.0,4.0,750,25,Dinner,0
Kung Pao Chicken (1 cup),Meal/Meat,380,26.0,18.0,22.0,3.0,6.0,900,65,Dinner,0
General Tso Chicken (1 cup),Meal/Processed,430,26.0,40.0,18.0,2.0,18.0,950,75,Dinner,0
Fried Rice (1 cup takeaway),Meal/Grain,340,9.0,55.0,10.0,2.0,3.0,800,60,Dinner,0
Spring Roll (meat 1 roll),Snack/Processed,120,4.0,14.0,5.5,1.0,1.5,280,10,Snack,0
Pho Bo (beef 1 bowl large),Meal/Soup,500,35.0,65.0,10.0,4.0,6.0,1600,70,Dinner,500
Banh Xeo (Vietnamese crepe 1),Meal/Processed,350,15.0,28.0,20.0,4.0,4.0,650,80,Dinner,0
Green Papaya Salad (1 cup),Meal/Vegetarian,90,2.0,15.0,3.0,3.0,8.0,450,0,Lunch,0
Pad See Ew (1 cup noodles),Meal/Pasta,420,18.0,55.0,14.0,3.0,8.0,850,60,Dinner,0
Massaman Curry (1 cup),Meal/Meat,480,28.0,35.0,26.0,4.0,8.0,950,80,Dinner,0
Tom Yum Soup (1 bowl),Meal/Soup,120,10.0,8.0,4.0,2.0,4.0,1100,40,Lunch,400
Mango Sticky Rice (1 portion),Dessert,380,5.0,75.0,8.0,3.0,30.0,50,0,Snack,0
Rotisserie Chicken (1/4 bird),Protein/Meat,340,40.0,1.0,19.0,0.0,0.0,850,145,Dinner,0
Chicken Caesar Wrap,Meal/Processed,480,28.0,42.0,22.0,4.0,4.0,980,70,Lunch,0
Chicken Fajitas (1 portion),Meal/Meat,450,30.0,40.0,18.0,5.0,6.0,900,75,Dinner,0
Chili Con Carne (1 cup),Meal/Meat,320,22.0,28.0,12.0,8.0,6.0,800,55,Dinner,0
Sour Cream Topping (2 tbsp),Condiment,60,0.8,1.3,5.8,0.0,0.8,25,12,Dinner,0
Nachos with Toppings (1 plate),Meal/Processed,650,22.0,60.0,38.0,6.0,8.0,1200,55,Snack,0
Jalapeno Poppers (4 pcs),Snack/Processed,280,8.0,20.0,18.0,2.0,2.0,550,30,Snack,0
Chicken Quesadilla (1 half),Meal/Processed,350,22.0,28.0,18.0,2.0,2.0,680,55,Lunch,0
Fish Burrito (1 large),Meal/Processed,580,28.0,65.0,22.0,8.0,5.0,1200,55,Dinner,0
Black Bean Burger (1 patty),Protein/Vegetarian,150,8.0,18.0,5.0,5.0,2.0,380,0,Lunch,0
Sweet Potato Fries (1 portion),Vegetable/Processed,220,3.0,36.0,8.0,4.5,8.0,340,0,Dinner,0
Onion Rings (large serving),Snack/Processed,400,6.0,45.0,22.0,4.0,5.0,720,0,Dinner,0
Coleslaw (1/2 cup),Meal/Vegetable,120,1.0,9.0,9.0,2.0,7.0,180,10,Dinner,0
Mac Salad (Hawaii style 1/2 cup),Meal/Pasta,280,5.0,22.0,20.0,1.5,4.0,580,15,Lunch,0
Potato Wedges (1 portion),Vegetable/Processed,240,4.0,38.0,8.0,4.0,2.0,400,0,Dinner,0
Corn on the Cob (1 ear buttered),Vegetable,175,5.0,32.0,6.0,3.5,6.0,30,15,Dinner,0
Baked Beans (1/2 cup Heinz),Legume,130,7.0,25.0,0.5,6.0,8.0,530,0,Breakfast,0
Tinned Tuna in Water (1 can),Protein/Fish,100,22.0,0.0,1.0,0.0,0.0,280,40,Lunch,0
Tinned Sardines (1 tin in oil),Protein/Fish,190,23.0,0.0,11.0,0.0,0.0,430,80,Lunch,0
Tinned Mackerel in Tomato,Protein/Fish,200,20.0,4.0,12.0,0.0,3.0,380,65,Lunch,0
Smoked Haddock (4oz),Protein/Fish,100,20.0,0.0,1.5,0.0,0.0,750,55,Dinner,0
Kedgeree (1 cup),Meal/Fish,320,20.0,38.0,9.0,2.0,3.0,650,120,Breakfast,0
Prawn Cocktail (1 starter),Meal/Seafood,180,15.0,8.0,9.0,1.0,6.0,550,130,Lunch,0
Marie Rose Sauce (1 tbsp),Condiment,70,0.2,3.5,6.0,0.0,3.0,150,5,Lunch,0
Tiger Prawn (4 grilled),Protein/Seafood,85,18.0,0.0,1.5,0.0,0.0,200,130,Dinner,0
Sea Bass Fillet (4oz grilled),Protein/Fish,140,24.0,0.0,4.5,0.0,0.0,80,55,Dinner,0
Monkfish (3oz pan fried),Protein/Fish,95,18.0,0.0,2.0,0.0,0.0,25,30,Dinner,0
Rainbow Trout (4oz baked),Protein/Fish,150,22.0,0.0,6.5,0.0,0.0,55,60,Dinner,0
Crayfish Tails (3oz),Protein/Seafood,70,14.0,0.5,1.0,0.0,0.0,300,125,Dinner,0
Whopper BK (1 burger),Meal/Fast-Food,657,31.0,44.0,40.0,3.0,10.0,980,90,Dinner,0
Whopper Double BK (1 burger),Meal/Fast-Food,840,47.0,44.0,51.0,3.0,10.0,1100,145,Dinner,0
Whopper Triple BK (1 burger),Meal/Fast-Food,1124,63.0,51.0,63.0,3.0,10.0,1250,200,Dinner,0
Big King BK (1 burger),Meal/Fast-Food,525,25.0,45.0,27.0,3.0,6.0,920,70,Dinner,0
Big King XXL BK (1 burger),Meal/Fast-Food,994,54.0,54.0,55.0,4.0,8.0,1450,130,Dinner,0
Cheeseburger BK (1 burger),Meal/Fast-Food,289,15.0,30.0,12.0,2.0,5.0,650,40,Lunch,0
Double Cheeseburger BK (1 burger),Meal/Fast-Food,417,24.0,32.0,21.0,2.0,5.0,850,75,Lunch,0
Bacon Cheeseburger BK (1 burger),Meal/Fast-Food,314,17.0,31.0,13.0,2.0,5.0,750,45,Lunch,0
Chicken Burger BK (1 burger),Meal/Fast-Food,393,11.0,40.0,20.0,2.0,5.0,680,30,Lunch,0
Chicken Tendercrisp BK (1 burger),Meal/Fast-Food,655,28.0,61.0,32.0,3.0,7.0,1100,55,Lunch,0
Crispy Chicken BK (1 burger),Meal/Fast-Food,516,16.0,42.0,31.0,2.0,6.0,850,40,Lunch,0
Big Fish Burger BK (1 burger),Meal/Fast-Food,453,17.0,43.0,23.0,2.0,5.0,800,45,Lunch,0
Burger Cheese Bacon XXL BK (1),Meal/Fast-Food,970,59.0,52.0,51.0,3.0,8.0,1500,145,Dinner,0
Burger Texas Double BK (1),Meal/Fast-Food,447,23.0,40.0,21.0,3.0,6.0,900,75,Dinner,0
Burger sans gluten BK (1),Meal/Fast-Food,494,21.0,43.0,22.0,3.0,5.0,780,50,Dinner,0
Chicken Nuggets x9 BK,Meal/Fast-Food,370,18.0,32.0,18.0,1.0,1.0,700,40,Lunch,0
BK Chicken Fries x6,Meal/Fast-Food,191,13.0,11.0,11.0,1.0,1.0,450,30,Snack,0
Ailes de Poulet x4 BK,Meal/Fast-Food,351,33.0,4.0,23.0,0.0,1.0,600,80,Snack,0
Croustilles de Poulet x6 BK,Meal/Fast-Food,646,39.0,41.0,35.0,2.0,2.0,900,90,Snack,0
Chili Cheese Bites x6 BK,Snack/Fast-Food,320,10.0,34.0,18.0,2.0,2.0,680,30,Snack,0
Onion Rings BK (portion),Snack/Fast-Food,350,5.0,40.0,20.0,3.0,4.0,550,0,Snack,0
Caesar Chicken Wrap BK,Meal/Fast-Food,300,23.0,31.0,9.0,3.0,4.0,650,40,Lunch,0
BBQ Beef Wrap BK,Meal/Fast-Food,532,24.0,48.0,27.0,3.0,8.0,950,65,Lunch,0
Chicken Wrap BK,Meal/Fast-Food,533,19.0,46.0,30.0,3.0,5.0,900,45,Lunch,0
Frites petites BK,Snack/Fast-Food,230,3.0,31.0,11.0,2.0,0.5,230,0,Snack,0
Frites moyennes BK,Snack/Fast-Food,320,4.0,43.0,15.0,3.0,0.5,320,0,Snack,0
Frites grandes BK,Snack/Fast-Food,440,5.0,58.0,21.0,4.0,0.5,450,0,Snack,0
Crème glacée vanille BK (Sandy),Dessert/Fast-Food,182,4.0,31.0,5.0,0.0,22.0,90,15,Snack,0
Brownie BK,Dessert/Fast-Food,345,5.0,38.0,18.0,2.0,22.0,180,20,Snack,0
Coca-Cola medium BK,Beverage,168,0.0,42.0,0.0,0.0,42.0,15,0,Snack,355
Coca-Cola géant BK,Beverage,315,0.0,80.0,0.0,0.0,80.0,25,0,Snack,550
Jus d'orange BK,Beverage,100,1.0,24.0,0.5,0.5,21.0,5,0,Breakfast,200
Big Mac McDonald's (1 burger),Meal/Fast-Food,508,25.0,43.0,26.0,3.0,8.0,910,74,Dinner,0
Double Big Mac McDonald's (1),Meal/Fast-Food,720,38.0,43.0,40.0,3.0,8.0,1200,115,Dinner,0
Hamburger McDonald's (1),Meal/Fast-Food,250,13.0,31.0,8.0,1.0,6.0,510,35,Lunch,0
Cheeseburger McDonald's (1),Meal/Fast-Food,300,15.0,33.0,12.0,1.0,7.0,710,45,Lunch,0
Double Cheeseburger McDonald's (1),Meal/Fast-Food,445,25.0,34.0,22.0,1.0,7.0,1050,85,Lunch,0
McChicken McDonald's (1),Meal/Fast-Food,395,16.0,40.0,18.0,2.0,5.0,730,40,Lunch,0
Filet-O-Fish McDonald's (1),Meal/Fast-Food,380,15.0,38.0,18.0,2.0,5.0,650,40,Lunch,0
McWrap Poulet Croustillant McDonald's,Meal/Fast-Food,540,28.0,55.0,22.0,4.0,7.0,1050,65,Lunch,0
McWrap Poulet Grillé McDonald's,Meal/Fast-Food,430,32.0,47.0,12.0,5.0,8.0,900,75,Lunch,0
Grand McExtreme McDonald's (1),Meal/Fast-Food,640,35.0,46.0,35.0,3.0,8.0,1200,100,Dinner,0
Quarterpounder McDonald's (1),Meal/Fast-Food,510,28.0,41.0,26.0,3.0,8.0,1000,85,Dinner,0
Double Quarterpounder McDonald's (1),Meal/Fast-Food,740,45.0,42.0,40.0,3.0,8.0,1300,145,Dinner,0
McBacon McDonald's (1),Meal/Fast-Food,550,30.0,44.0,28.0,3.0,8.0,1100,90,Dinner,0
Le Cantal McDonald's (1),Meal/Fast-Food,560,28.0,45.0,29.0,3.0,7.0,1050,85,Dinner,0
Chicken McNuggets x6 McDonald's,Meal/Fast-Food,270,15.0,16.0,16.0,1.0,0.5,500,40,Lunch,0
Chicken McNuggets x9 McDonald's,Meal/Fast-Food,400,22.0,24.0,24.0,1.5,0.5,750,60,Lunch,0
Chicken McNuggets x20 McDonald's,Meal/Fast-Food,890,49.0,53.0,53.0,3.0,1.0,1650,130,Dinner,0
Chicken McBites McDonald's (portion),Snack/Fast-Food,380,20.0,32.0,19.0,2.0,1.0,780,55,Snack,0
Frites petites McDonald's,Snack/Fast-Food,230,2.0,30.0,11.0,3.0,0.0,160,0,Snack,0
Frites moyennes McDonald's,Snack/Fast-Food,320,4.0,42.0,15.0,4.0,0.0,230,0,Snack,0
Frites grandes McDonald's,Snack/Fast-Food,430,6.0,57.0,20.0,5.0,0.0,310,0,Snack,0
McFlurry Oreo McDonald's,Dessert/Fast-Food,340,8.0,54.0,11.0,0.5,40.0,195,30,Snack,0
McFlurry Caramel McDonald's,Dessert/Fast-Food,360,7.0,58.0,12.0,0.0,45.0,180,30,Snack,0
Sundae Caramel McDonald's,Dessert/Fast-Food,320,6.0,52.0,9.0,0.0,38.0,160,25,Snack,0
Sundae Chocolat McDonald's,Dessert/Fast-Food,330,7.0,52.0,10.0,1.0,40.0,170,25,Snack,0
Cône vanille McDonald's,Dessert/Fast-Food,170,4.0,28.0,4.5,0.0,20.0,80,15,Snack,0
Apple Pie McDonald's,Dessert/Fast-Food,260,3.0,35.0,13.0,2.0,14.0,130,0,Snack,0
Muffin aux pépites de chocolat McDonald's,Dessert/Fast-Food,380,6.0,54.0,16.0,2.0,30.0,320,45,Snack,0
McCafé Café latte moyen McDonald's,Beverage,130,7.0,13.0,4.5,0.0,11.0,90,15,Breakfast,300
McCafé Cappuccino McDonald's,Beverage,100,6.0,9.0,3.5,0.0,8.0,75,15,Breakfast,250
McCafé Chocolate chaud McDonald's,Beverage,280,9.0,40.0,9.0,2.0,35.0,135,20,Snack,300
McMuffin Oeuf et fromage McDonald's,Meal/Fast-Food,310,17.0,30.0,13.0,2.0,3.0,820,200,Breakfast,0
McMuffin Saucisse McDonald's,Meal/Fast-Food,430,19.0,30.0,27.0,2.0,3.0,960,55,Breakfast,0
Big Breakfast McDonald's,Meal/Fast-Food,740,28.0,58.0,43.0,4.0,6.0,1310,395,Breakfast,0
Porridge McDonald's,Meal/Grain,290,9.0,55.0,4.5,5.0,20.0,125,5,Breakfast,250
Happy Meal Nuggets McDonald's (6 pcs + frites petites),Meal/Fast-Food,500,17.0,56.0,27.0,4.0,1.0,660,40,Lunch,0
Happy Meal Burger McDonald's (+ frites petites),Meal/Fast-Food,480,15.0,61.0,19.0,4.0,6.0,670,35,Lunch,0
Salade César poulet grillé McDonald's,Meal/Fast-Food,280,28.0,12.0,13.0,3.0,5.0,700,70,Lunch,0
Coca-Cola medium McDonald's,Beverage,180,0.0,46.0,0.0,0.0,46.0,15,0,Snack,400
Coca-Cola zéro medium McDonald's,Beverage,2,0.0,0.5,0.0,0.0,0.5,10,0,Snack,400
Schweppes Agrum McDonald's,Beverage,160,0.0,40.0,0.0,0.0,38.0,15,0,Snack,400
Jus de pomme McDonald's (petit),Beverage,100,0.5,24.0,0.0,0.0,22.0,10,0,Snack,200
Lait McDonald's (petit),Beverage,65,3.5,5.0,3.5,0.0,5.0,45,15,Snack,200
O'Tacos S poulet (1 tacos),Meal/Fast-Food,650,30.0,75.0,25.0,5.0,5.0,1800,50,Lunch,0
O'Tacos M poulet (1 tacos),Meal/Fast-Food,850,38.0,95.0,33.0,6.0,6.0,2200,65,Lunch,0
O'Tacos L poulet (1 tacos),Meal/Fast-Food,1100,50.0,125.0,42.0,8.0,8.0,2800,85,Dinner,0
O'Tacos XL poulet (1 tacos),Meal/Fast-Food,1500,68.0,170.0,58.0,10.0,10.0,3800,115,Dinner,0
O'Tacos XXL poulet (1 tacos),Meal/Fast-Food,1950,90.0,220.0,75.0,13.0,13.0,4900,150,Dinner,0
O'Tacos S viande hachee (1 tacos),Meal/Fast-Food,680,32.0,78.0,27.0,5.0,5.0,1900,65,Lunch,0
O'Tacos M viande hachee (1 tacos),Meal/Fast-Food,890,42.0,100.0,36.0,7.0,7.0,2400,85,Lunch,0
O'Tacos L viande hachee (1 tacos),Meal/Fast-Food,1150,55.0,130.0,46.0,9.0,9.0,3000,110,Dinner,0
O'Tacos XL viande hachee (1 tacos),Meal/Fast-Food,1600,75.0,180.0,63.0,12.0,12.0,4100,150,Dinner,0
O'Tacos XXL 3 viandes (1 tacos),Meal/Fast-Food,2100,100.0,235.0,85.0,15.0,15.0,5200,200,Dinner,0
O'Tacos S cordon bleu (1 tacos),Meal/Fast-Food,660,28.0,77.0,26.0,5.0,5.0,1850,60,Lunch,0
O'Tacos M cordon bleu (1 tacos),Meal/Fast-Food,870,36.0,98.0,35.0,6.0,6.0,2300,80,Lunch,0
O'Tacos L cordon bleu (1 tacos),Meal/Fast-Food,1120,47.0,127.0,45.0,8.0,8.0,2900,105,Dinner,0
O'Tacos XL cordon bleu (1 tacos),Meal/Fast-Food,1550,65.0,175.0,62.0,11.0,11.0,4000,145,Dinner,0
O'Tacos M falafel (1 tacos),Meal/Fast-Food,820,22.0,105.0,32.0,10.0,8.0,2100,0,Lunch,0
O'Tacos Matelas (1 tacos),Meal/Fast-Food,1250,55.0,145.0,50.0,9.0,9.0,3200,100,Dinner,0
O'Tacos tortilla (1 seule),Meal/Fast-Food,341,10.0,59.0,8.0,4.0,55.0,1364,0,Snack,0
O'Tacos frites (portion),Snack/Fast-Food,233,3.0,33.0,11.0,3.0,30.0,1070,0,Snack,0
O'Tacos tenders de poulet (portion),Protein/Fast-Food,245,17.0,19.0,11.0,1.0,18.0,1623,0,Snack,0
O'Tacos nuggets de poulet x6,Snack/Fast-Food,260,14.0,18.0,15.0,2.0,16.0,1171,0,Snack,0
O'Tacos onion rings (portion),Snack/Fast-Food,254,5.0,34.0,12.0,4.0,30.0,659,0,Snack,0
O'Tacos sauce fromagere (portion),Condiment/Fast-Food,187,4.0,6.0,16.0,0.0,6.0,885,0,Snack,0
O'Tacos sauce algerienne (portion),Condiment/Fast-Food,456,1.0,18.0,42.0,0.0,15.0,1600,0,Snack,0
O'Tacos sauce samourai (portion),Condiment/Fast-Food,585,1.0,4.0,62.0,0.0,3.0,1800,0,Snack,0
O'Tacos milkshake nature,Beverage/Fast-Food,114,3.0,17.0,4.0,0.0,17.0,267,0,Snack,300
O'Tacos cheesecake,Dessert/Fast-Food,350,7.0,42.0,17.0,1.0,28.0,280,50,Snack,0
Tasty Crousty small (1 barquette),Meal/Fast-Food,900,35.0,100.0,40.0,4.0,6.0,1500,70,Lunch,0
Tasty Crousty medium (1 barquette),Meal/Fast-Food,1200,48.0,135.0,52.0,5.0,8.0,2000,95,Dinner,0
Tasty Crousty large (1 barquette),Meal/Fast-Food,1500,60.0,170.0,65.0,6.0,10.0,2500,120,Dinner,0
Tasty Crousty XL (1 barquette),Meal/Fast-Food,1900,78.0,215.0,82.0,8.0,12.0,3100,155,Dinner,0
Tasty Crousty tenders (portion),Protein/Fast-Food,280,20.0,22.0,12.0,1.5,2.0,750,55,Snack,0
Tasty Crousty riz (portion),Grain/Fast-Food,200,4.0,44.0,0.5,0.5,0.0,5,0,Snack,0
Tasty Crousty sauce maison (portion),Condiment/Fast-Food,220,2.0,8.0,20.0,0.0,5.0,600,10,Snack,0
